SR No,LRNo,LRDate,NoOfBox,Weight,InvoiceNumber,InvoiceDate,PartyName,CityName,District,State,Amount,TransportName,Remark
743,1000 2221 6921,3/12/2025 19:37,3,14.7,DHL/24-25/15680,3/10/2025 10:11,Umerkote,UMARKOTE,NAWRANGPUR,Odisha,6637.5,SAFEXPRESS,Scheduled
744,1000 2221 6921,3/12/2025 19:37,4,18,DHL/24-25/15747,3/11/2025 13:58,Umerkote,UMARKOTE,NAWRANGPUR,Odisha,8779.2,SAFEXPRESS,Scheduled
745,1000 2221 6921,3/12/2025 19:37,2,9,DHL/24-25/15747,3/11/2025 13:58,Umerkote,UMARKOTE,NAWRANGPUR,Odisha,4179.56,SAFEXPRESS,Scheduled
746,1000 2221 7212,3/12/2025 19:35,5,83.5,DHL/24-25/15782,3/12/2025 10:05,Maa Kali Enterprise,Agartala,West Tripura,Tripura,33187.5,SAFEXPRESS,All others ODA
747,1000 2221 7212,3/12/2025 19:35,10,164,DHL/24-25/15783,3/12/2025 10:08,Maa Kali Enterprise,Agartala,West Tripura,Tripura,43689.5,SAFEXPRESS,All others ODA
748,1000 2221 6541,3/12/2025 19:34,1,12.1,DHL/24-25/15719,3/11/2025 9:34,AVER SCALES &SYSTEMS,DELHI,DELHI,DELHI,5150.7,SAFEXPRESS,All others ODA
749,1000 2221 6541,3/12/2025 19:34,2,4.4,DHL/24-25/15753,3/11/2025 14:06,AVER SCALES &SYSTEMS,DELHI,DELHI,DELHI,4731.8,SAFEXPRESS,All others ODA
750,1000 2221 6541,3/12/2025 19:34,1,13.6,DHL/24-25/15781,3/12/2025 10:02,AVER SCALES &SYSTEMS,DELHI,DELHI,DELHI,5640.4,SAFEXPRESS,All others ODA
751,1000 2221 7941,3/12/2025 19:33,1,15.1,DHL/24-25/15659,3/10/2025 9:39,DHANSHREE ELECTRONICS,BHUSAWAL,JALGAON,MAHARASHTRA,6018,SAFEXPRESS,All others ODA
752,1000 2221 7941,3/12/2025 19:33,2,82.1,DHL/24-25/15786,3/12/2025 10:11,DHANSHREE ELECTRONICS,BHUSAWAL,JALGAON,MAHARASHTRA,23381.7,SAFEXPRESS,All others ODA
753,1000 2221 4517,3/12/2025 19:31,5,73,DHL/24-25/15716,3/11/2025 9:28,VIJAY KUMAR GIRIDHARILAL,JAMSHEDPUR,EAST SINGHBHUM,Jharkhand,24485,SAFEXPRESS,Scheduled
754,1000 2221 4278,3/12/2025 19:31,2,9.2,DHL/24-25/15768,3/11/2025 14:39,S M ENTERPRISES,VISHAKHAPATNAM,VISHAKHAPATNAM,Andhra Pradesh,5723,SAFEXPRESS,Scheduled
755,1000 2221 4278,3/12/2025 19:31,2,9.6,DHL/24-25/15768,3/11/2025 14:39,S M ENTERPRISES,VISHAKHAPATNAM,VISHAKHAPATNAM,Andhra Pradesh,6619.8,SAFEXPRESS,Scheduled
756,1000 2221 4278,3/12/2025 19:31,2,9,DHL/24-25/15768,3/11/2025 14:39,S M ENTERPRISES,VISHAKHAPATNAM,VISHAKHAPATNAM,Andhra Pradesh,7186.2,SAFEXPRESS,Scheduled
757,1000 2221 5158,3/12/2025 19:30,1,30.6,DHL/24-25/15788,3/12/2025 10:14,MARUDHAR ENTERPRISES,JODHPUR,JODHPUR,Rajasthan,8201,SAFEXPRESS,Scheduled
758,1000 2221 5317,3/12/2025 19:29,1,4.6,DHL/24-25/15759,3/11/2025 14:24,SONAL SCALE COMPANY,SATARA,SATARA,MAHARASHTRA,3056.2,SAFEXPRESS,All others ODA
759,1000 2221 5317,3/12/2025 19:29,10,18,DHL/24-25/15759,3/11/2025 14:24,SONAL SCALE COMPANY,SATARA,SATARA,MAHARASHTRA,16520,SAFEXPRESS,All others ODA
760,1000 2221 5596,3/12/2025 19:29,2,103,DHL/24-25/15741,3/11/2025 13:49,GOPAL PROVISION,AKKALKUWA,NANDURBAR,MAHARASHTRA,32662.4,SAFEXPRESS,All others ODA
761,1000 2221 7785,3/12/2025 19:28,2,9.2,DHL/24-25/15449,3/3/2025 15:58,SANT SALES CORPORATION,SATNA,SATNA,Madhya Pradesh,6419.2,SAFEXPRESS,All others ODA
762,1000 2221 7631,3/12/2025 19:28,5,27,DHL/24-25/15767,3/11/2025 14:37,INNOVATIVE TELE SYSTEMS,GURGAON,GURGAON,Haryana,18467,SAFEXPRESS,All others ODA
763,1000 2221 7472,3/12/2025 19:27,5,11,DHL/24-25/15751,3/11/2025 14:03,SOURAV PAUL,PURULIA,PURULIA,West Bengal,12095,SAFEXPRESS,Scheduled
764,1000 2221 7472,3/12/2025 19:27,10,18,DHL/24-25/15751,3/11/2025 14:03,SOURAV PAUL,PURULIA,PURULIA,West Bengal,16520,SAFEXPRESS,Scheduled
765,274780333,3/12/2025 19:26,1,5,DHL/24-25/15766,3/11/2025 14:35,Vaishnavi Enterprises,Ambivali,THANE,MAHARASHTRA,4242.1,DELHIVERY,All others ODA
766,274780753,3/12/2025 19:24,6,49.8,DHL/24-25/15714,3/11/2025 9:25,S.S SCALE,SRIGANGANAGAR,SRIGANGANAGAR,Rajasthan,15859.2,DELHIVERY,All others ODA
767,274780500,3/12/2025 19:20,1,4.7,DHL/24-25/15678,3/10/2025 10:06,SRI MARKANDEY ENTERPRISES,KARIMNAGAR,KARIMNAGAR,Telangana,3209.6,DELHIVERY,All others ODA
768,274780500,3/12/2025 19:20,2,97.3,DHL/24-25/15765,3/11/2025 14:35,SRI MARKANDEY ENTERPRISES,KARIMNAGAR,KARIMNAGAR,Telangana,24378.8,DELHIVERY,All others ODA
769,274780888,3/12/2025 19:17,2,10,DHL/24-25/15655,3/10/2025 9:35,MAHAJAN ELECTRONIC,RAJOURI,RAJOURI,Jammu and Kashmir,8673,DELHIVERY,All others ODA
770,274780888,3/12/2025 19:17,3,94.8,DHL/24-25/15705,3/11/2025 9:16,MAHAJAN ELECTRONIC,RAJOURI,RAJOURI,Jammu and Kashmir,24762.3,DELHIVERY,All others ODA
771,274781091,3/12/2025 19:14,1,8.5,DHL/24-25/15643,3/8/2025 10:19,Mahaveer Electricals,Kishangarh,Ajmer,Rajasthan,3675.7,DELHIVERY,All others ODA
772,274781091,3/12/2025 19:14,1,8.1,DHL/24-25/15643,3/8/2025 10:19,Mahaveer Electricals,Kishangarh,Ajmer,Rajasthan,3805.5,DELHIVERY,All others ODA
773,274781091,3/12/2025 19:14,1,18,DHL/24-25/15720,3/11/2025 9:36,Mahaveer Electricals,Kishangarh,Ajmer,Rajasthan,6259.9,DELHIVERY,All others ODA
774,274813227,3/12/2025 19:11,2,12.1,DHL/24-25/15425,3/3/2025 11:33,Raghavendra Electronic Scales,ANANTHAPURAMU,ANANTHAPUR,Andhra Pradesh,4696.4,DELHIVERY,All others ODA
775,274813227,3/12/2025 19:11,2,4.6,DHL/24-25/15497,3/5/2025 14:11,Raghavendra Electronic Scales,ANANTHAPURAMU,ANANTHAPUR,Andhra Pradesh,9605.2,DELHIVERY,All others ODA
776,274813227,3/12/2025 19:11,1,2.3,DHL/24-25/15514,3/5/2025 15:23,Raghavendra Electronic Scales,ANANTHAPURAMU,ANANTHAPUR,Andhra Pradesh,4802.6,DELHIVERY,All others ODA
777,274812562,3/12/2025 19:08,1,5.5,DHL/24-25/15748,3/11/2025 13:59,Radheshyam Sales,JAORA,RATLAM,Madhya Pradesh,3321.7,DELHIVERY,All others ODA
778,274812562,3/12/2025 19:08,1,16.7,DHL/24-25/15779,3/12/2025 9:59,Radheshyam Sales,JAORA,RATLAM,Madhya Pradesh,7310.1,DELHIVERY,All others ODA
779,158078027,3/12/2025 19:06,6,13.2,DHL/24-25/15664,3/10/2025 9:49,ISHITA ELECTRICALS,GODHRA,PANCH MAHAL,Gujarat,14514,GATI,All others ODA
780,158078027,3/12/2025 19:06,2,4.4,DHL/24-25/15744,3/11/2025 13:53,ISHITA ELECTRICALS,GODHRA,PANCH MAHAL,Gujarat,11257.2,GATI,All others ODA
781,158077952,3/12/2025 19:05,3,35.1,DHL/24-25/15784,3/12/2025 10:09,NATRAJ ENTERPRISES.,DURG,DURG,Chhattisgarh,14584.8,GATI,Scheduled
782,158077952,3/12/2025 19:05,1,26.5,DHL/24-25/15785,3/12/2025 10:10,NATRAJ ENTERPRISES.,DURG,DURG,Chhattisgarh,8118.4,GATI,Scheduled
783,158077990,3/12/2025 19:03,2,42.3,DHL/24-25/15778,3/12/2025 9:57,ANAND ENTERPRISES,PARBHANI,PARBHANI,MAHARASHTRA,15345.9,GATI,Scheduled
784,158077990,3/12/2025 19:03,1,53.3,DHL/24-25/15795,3/12/2025 13:53,ANAND ENTERPRISES,PARBHANI,PARBHANI,MAHARASHTRA,14224.9,GATI,Scheduled
785,158078010,3/12/2025 19:00,1,16.4,DHL/24-25/15732,3/11/2025 10:02,"OM ENTERPRISES.,",NASHIK,NASHIK,MAHARASHTRA,6318.9,GATI,Scheduled
786,158078034,3/12/2025 18:59,3,13.8,DHL/24-25/15754,3/11/2025 14:08,Berhampur,Berhampur,GANJAM,Odisha,6796.8,GATI,All others ODA
787,158078034,3/12/2025 18:59,5,11,DHL/24-25/15754,3/11/2025 14:08,Berhampur,Berhampur,GANJAM,Odisha,8437,GATI,All others ODA
788,158078041,3/12/2025 18:59,1,4.5,DHL/24-25/15746,3/11/2025 13:56,Jeypore,Jeypore,KORAPUT,Odisha,2089.78,GATI,All others ODA
789,158078058,3/12/2025 18:59,20,92,DHL/24-25/15761,3/11/2025 14:29,NEW MAHAMAYA MARKETING,DALTANGANJ,DALTANGANJ,Jharkhand,55814,GATI,All others ODA
790,158078058,3/12/2025 18:59,10,18,DHL/24-25/15761,3/11/2025 14:29,NEW MAHAMAYA MARKETING,DALTANGANJ,DALTANGANJ,Jharkhand,16520,GATI,All others ODA
791,158077945,3/12/2025 18:58,2,9.6,DHL/24-25/15755,3/11/2025 14:13,SHREE SHYAM AGENCIES,RAMGARH CANTT,RAMGARH CANTT,Jharkhand,6431,GATI,All others ODA
792,158077945,3/12/2025 18:58,2,11,DHL/24-25/15755,3/11/2025 14:13,SHREE SHYAM AGENCIES,RAMGARH CANTT,RAMGARH CANTT,Jharkhand,6808.6,GATI,All others ODA
793,158077945,3/12/2025 18:58,2,9.2,DHL/24-25/15755,3/11/2025 14:13,SHREE SHYAM AGENCIES,RAMGARH CANTT,RAMGARH CANTT,Jharkhand,5581.4,GATI,All others ODA
794,158077945,3/12/2025 18:58,2,4.4,DHL/24-25/15755,3/11/2025 14:13,SHREE SHYAM AGENCIES,RAMGARH CANTT,RAMGARH CANTT,Jharkhand,4613.8,GATI,All others ODA
795,158077969,3/12/2025 18:58,2,54.4,DHL/24-25/15777,3/12/2025 9:56,Bilaspur,Bilaspur,Bilaspur,Chhattisgarh,12142.2,GATI,Scheduled
796,158077983,3/12/2025 18:57,2,97.7,DHL/24-25/15776,3/12/2025 9:53,RENUKA ELECTRONICS,PUNE,PUNE,MAHARASHTRA,29848.1,GATI,Scheduled
